开奖日期	                开奖号码 
2022-06-02(四)	[16 18 20 21 23 33 5]
2022-05-31(二)	[01 03 16 18 29 33 6]
2022-05-29(日)	[16 18 19 24 28 32 1]
2022-05-26(四)	[06 09 18 19 29 33 6]
2022-05-24(二)	[06 13 14 23 31 33 1]
2022-05-22(日)	[12 15 20 26 30 33 16]
2022-05-19(四)	[01 06 11 14 17 26 15]
2022-05-17(二)	[02 04 09 26 28 33 3]
2022-05-15(日)	[08 12 21 27 28 33 11]
2022-05-12(四)	[10 14 18 23 27 33 15]
2022-05-10(二)	[07 24 27 29 31 32 15]
2022-05-08(日)	[02 05 11 17 21 33 1]
2022-05-05(四)	[03 05 08 14 27 33 8]
2022-05-03(二)	[02 04 07 18 25 26 10]
2022-05-01(日)	[05 07 17 20 26 31 14]
2022-04-28(四)	[03 07 08 14 27 30 9]
2022-04-26(二)	[02 11 24 25 27 30 14]
2022-04-24(日)	[03 12 17 18 19 28 4]
2022-04-21(四)	[01 07 08 21 23 29 6]
2022-04-19(二)	[02 17 20 23 25 27 8]
2022-04-17(日)	[05 10 11 21 22 30 13]
2022-04-14(四)	[05 07 21 22 24 29 14]
2022-04-12(二)	[03 12 14 16 31 33 12]
2022-04-10(日)	[02 06 07 10 15 20 5]
2022-04-07(四)	[09 12 13 16 24 32 4]
2022-04-05(二)	[01 10 13 20 22 32 14]
2022-04-03(日)	[02 03 14 16 26 31 2]
2022-03-31(四)	[08 12 13 19 23 25 15]
2022-03-29(二)	[14 17 26 31 32 33 10]
2022-03-27(日)	[05 12 19 22 25 26 5]
2022-03-24(四)	[04 10 11 14 23 32 7]
2022-03-22(二)	[01 10 11 22 26 32 7]
2022-03-20(日)	[12 23 24 26 27 30 5]
2022-03-17(四)	[03 08 10 13 26 32 8]
2022-03-15(二)	[05 11 20 22 23 29 9]
2022-03-13(日)	[14 15 18 19 26 32 9]
2022-03-10(四)	[03 04 10 15 22 24 2]
2022-03-08(二)	[06 19 24 25 28 32 4]
2022-03-06(日)	[07 09 10 14 19 24 15]
2022-03-03(四)	[07 12 17 19 24 25 2]
2022-03-01(二)	[01 07 11 15 17 19 6]
2022-02-27(日)	[03 07 22 24 26 31 14]
2022-02-24(四)	[09 11 14 22 30 32 1]
2022-02-22(二)	[05 06 14 20 21 25 8]
2022-02-20(日)	[07 11 16 17 30 32 16]
2022-02-17(四)	[06 09 24 29 30 32 7]
2022-02-15(二)	[05 10 19 20 29 31 14]
2022-02-13(日)	[06 14 16 27 28 31 7]
2022-02-10(四)	[06 07 13 14 15 27 4]
2022-02-08(二)	[02 03 04 07 10 18 15]
2022-01-27(四)	[04 07 08 29 30 31 1]
2022-01-25(二)	[06 15 23 24 25 33 15]
2022-01-23(日)	[12 18 19 20 21 32 15]
2022-01-20(四)	[04 15 17 19 25 28 16]
2022-01-18(二)	[02 03 07 09 20 21 13]
2022-01-16(日)	[01 20 22 23 25 28 16]
2022-01-13(四)	[03 06 09 15 22 31 2]
2022-01-11(二)	[07 10 12 16 19 31 16]
2022-01-09(日)	[05 19 24 28 30 32 14]
2022-01-06(四)	[02 05 16 17 18 30 6]
2022-01-04(二)	[02 12 21 23 25 31 8]
2022-01-02(日)	[06 13 15 17 20 21 3]
2021-12-30(四)	[09 14 20 21 24 26 4]
2021-12-28(二)	[05 10 15 18 19 32 5]
2021-12-26(日)	[10 12 15 17 19 20 8]
2021-12-23(四)	[05 10 11 13 27 28 9]
2021-12-21(二)	[07 09 21 22 26 32 3]
2021-12-19(日)	[04 07 10 14 16 26 9]
2021-12-16(四)	[02 05 13 15 23 26 7]
2021-12-14(二)	[01 09 11 13 20 29 9]
2021-12-12(日)	[04 07 17 19 20 24 16]
2021-12-09(四)	[01 14 19 23 26 30 10]
2021-12-07(二)	[05 10 16 26 27 33 1]
2021-12-05(日)	[12 14 19 23 24 27 1]
2021-12-02(四)	[11 14 15 16 27 32 9]
2021-11-30(二)	[03 07 10 14 21 24 1]
2021-11-28(日)	[02 06 09 15 19 28 16]
2021-11-25(四)	[03 10 17 19 21 31 4]
2021-11-23(二)	[01 02 16 19 25 31 8]
2021-11-21(日)	[01 03 12 19 27 31 10]
2021-11-18(四)	[01 04 06 14 20 28 8]
2021-11-16(二)	[08 11 18 19 20 24 1]
2021-11-14(日)	[08 09 15 24 26 30 6]
2021-11-11(四)	[04 15 21 27 28 29 10]
2021-11-09(二)	[05 17 20 21 23 33 4]
2021-11-07(日)	[07 15 16 20 27 29 7]
2021-11-04(四)	[19 20 23 27 28 31 1]
2021-11-02(二)	[14 19 20 23 24 31 9]
2021-10-31(日)	[01 03 18 22 29 32 2]
2021-10-28(四)	[06 14 15 19 29 31 5]
2021-10-26(二)	[04 05 12 15 18 28 7]
2021-10-24(日)	[04 05 12 16 22 30 15]
2021-10-21(四)	[01 07 08 12 13 18 5]
2021-10-19(二)	[03 09 10 11 28 29 13]
2021-10-17(日)	[02 06 14 18 20 31 13]
2021-10-14(四)	[03 05 17 21 27 33 4]
2021-10-12(二)	[06 14 17 18 31 33 6]
2021-10-10(日)	[02 10 12 15 24 27 8]
2021-10-07(四)	[04 06 08 14 24 27 2]
2021-10-05(二)	[04 07 10 22 27 30 2]
2021-09-30(四)	[05 06 21 25 28 33 7]
2021-09-28(二)	[17 20 22 23 26 28 6]
2021-09-26(日)	[10 13 15 24 31 32 2]
2021-09-23(四)	[02 03 10 17 20 26 16]
2021-09-21(二)	[11 15 18 24 26 32 9]
2021-09-19(日)	[02 03 17 19 25 30 1]
2021-09-16(四)	[01 04 07 14 30 31 3]
2021-09-14(二)	[10 14 15 22 27 32 9]
2021-09-12(日)	[01 07 17 20 22 28 15]
2021-09-09(四)	[10 13 15 25 29 30 15]
2021-09-07(二)	[05 09 15 24 27 30 9]
2021-09-05(日)	[02 04 12 22 29 31 1]
2021-09-02(四)	[07 09 12 13 14 29 16]
2021-08-31(二)	[09 11 17 18 20 27 15]
2021-08-29(日)	[01 10 13 18 26 32 5]
2021-08-26(四)	[03 11 12 13 25 28 12]
2021-08-24(二)	[01 07 11 14 15 26 11]
2021-08-22(日)	[08 12 17 24 27 28 13]
2021-08-19(四)	[09 11 24 25 28 33 15]
2021-08-17(二)	[05 11 15 23 28 33 3]
2021-08-15(日)	[02 07 08 10 12 31 3]
2021-08-12(四)	[04 06 16 24 26 33 16]
2021-08-10(二)	[05 06 12 14 27 28 8]
2021-08-08(日)	[01 02 07 13 23 24 12]
2021-08-05(四)	[04 12 15 16 19 26 6]
2021-08-03(二)	[02 13 16 19 23 24 4]
2021-08-01(日)	[06 08 10 14 28 29 1]
2021-07-29(四)	[05 06 07 11 14 20 2]
2021-07-27(二)	[05 07 09 11 21 28 1]
2021-07-25(日)	[04 09 11 25 28 33 4]
2021-07-22(四)	[03 06 11 13 26 32 5]
2021-07-20(二)	[01 03 05 18 22 23 1]
2021-07-18(日)	[05 08 22 23 24 29 9]
2021-07-15(四)	[01 03 10 24 28 29 13]
2021-07-13(二)	[04 06 15 26 27 31 12]
2021-07-11(日)	[08 15 17 25 27 30 10]
2021-07-08(四)	[03 09 21 23 30 32 6]
2021-07-06(二)	[12 15 16 21 22 29 1]
2021-07-04(日)	[04 05 09 14 25 27 7]
2021-07-01(四)	[01 06 18 22 24 25 8]
2021-06-29(二)	[01 09 15 16 19 21 15]
2021-06-27(日)	[01 07 24 31 32 33 8]
2021-06-24(四)	[01 05 11 15 16 29 15]
2021-06-22(二)	[06 11 18 20 23 26 5]
2021-06-20(日)	[04 14 18 24 31 32 15]
2021-06-17(四)	[01 11 19 23 25 29 9]
2021-06-15(二)	[02 06 19 26 30 33 15]
2021-06-13(日)	[01 04 08 19 29 33 16]
2021-06-10(四)	[04 06 08 15 16 18 16]
2021-06-08(二)	[04 05 06 09 23 24 9]
2021-06-06(日)	[12 13 15 20 22 25 10]
2021-06-03(四)	[04 09 12 18 20 23 1]
2021-06-01(二)	[10 11 17 20 29 30 15]
2021-05-30(日)	[01 09 11 18 32 33 14]
2021-05-27(四)	[09 11 13 18 19 28 14]
2021-05-25(二)	[05 06 09 17 25 33 16]
2021-05-23(日)	[08 21 22 23 29 32 1]
2021-05-20(四)	[03 11 12 16 22 28 10]
2021-05-18(二)	[07 13 21 22 24 31 2]
2021-05-16(日)	[07 10 14 16 24 33 16]
2021-05-13(四)	[03 04 06 19 21 30 14]
2021-05-11(二)	[08 09 10 19 27 29 15]
2021-05-09(日)	[02 09 10 16 25 28 8]
2021-05-06(四)	[04 11 13 22 25 32 1]
2021-05-04(二)	[04 15 17 22 29 32 3]
2021-05-02(日)	[03 07 13 16 24 29 1]
2021-04-29(四)	[05 09 13 21 28 33 6]
2021-04-27(二)	[01 04 14 15 17 32 2]
2021-04-25(日)	[05 07 14 17 26 28 13]
2021-04-22(四)	[02 03 17 18 23 24 1]
2021-04-20(二)	[05 09 10 22 25 27 8]
2021-04-18(日)	[02 09 18 23 26 32 14]
2021-04-15(四)	[02 06 07 24 28 29 16]
2021-04-13(二)	[02 08 21 24 29 31 13]
2021-04-11(日)	[05 07 09 16 18 27 6]
2021-04-08(四)	[13 17 19 24 26 30 12]
2021-04-06(二)	[01 02 06 11 21 26 11]
2021-04-04(日)	[12 14 18 20 26 28 11]
2021-04-01(四)	[04 10 12 18 23 25 1]
2021-03-30(二)	[02 12 13 14 31 33 6]
2021-03-28(日)	[01 05 08 15 16 30 3]
2021-03-25(四)	[06 11 21 25 28 31 7]
2021-03-23(二)	[08 09 13 27 29 31 5]
2021-03-21(日)	[08 10 15 17 22 30 12]
2021-03-18(四)	[11 16 23 26 27 33 5]
2021-03-16(二)	[05 07 09 16 20 26 8]
2021-03-14(日)	[03 05 13 19 20 25 3]
2021-03-11(四)	[06 08 14 17 18 30 11]
2021-03-09(二)	[01 04 06 10 11 18 2]
2021-03-07(日)	[02 21 22 23 27 28 11]
2021-03-04(四)	[10 15 17 25 31 32 6]
2021-03-02(二)	[04 08 17 24 28 33 13]
2021-02-28(日)	[01 03 06 07 09 11 2]
2021-02-25(四)	[12 16 17 24 28 29 8]
2021-02-23(二)	[02 08 14 23 25 32 6]
2021-02-21(日)	[09 15 18 29 32 33 2]
2021-02-07(日)	[03 08 09 13 15 18 10]
2021-02-04(四)	[06 14 16 26 28 29 7]
2021-02-02(二)	[04 15 21 25 29 33 6]
2021-01-31(日)	[06 09 12 16 27 31 6]
2021-01-28(四)	[03 06 14 18 20 26 1]
2021-01-26(二)	[05 10 16 23 27 33 14]
2021-01-24(日)	[01 04 11 19 32 33 5]
2021-01-21(四)	[02 04 07 24 25 32 13]
2021-01-19(二)	[01 05 07 14 18 33 7]
2021-01-17(日)	[02 04 12 21 25 32 16]
2021-01-14(四)	[06 08 22 24 25 26 1]
2021-01-12(二)	[07 09 14 26 30 31 4]
2021-01-10(日)	[02 03 07 08 17 22 15]
2021-01-07(四)	[06 09 16 18 22 29 11]
2021-01-05(二)	[06 10 13 25 26 32 11]
2021-01-03(日)	[02 03 13 18 20 31 11]
2020-12-31(四)	[02 09 10 20 22 26 1]
2020-12-29(二)	[03 19 22 23 27 29 7]
2020-12-27(日)	[01 04 11 12 14 23 4]
2020-12-24(四)	[08 19 22 26 27 30 7]
2020-12-22(二)	[08 09 11 14 17 29 16]
2020-12-20(日)	[01 02 05 15 28 33 4]
2020-12-17(四)	[08 10 15 16 23 26 10]
2020-12-15(二)	[01 04 18 19 26 31 7]
2020-12-13(日)	[03 07 12 14 23 28 11]
2020-12-10(四)	[05 12 16 26 30 31 13]
2020-12-08(二)	[16 18 19 20 29 33 12]
2020-12-06(日)	[01 03 18 19 26 29 3]
2020-12-03(四)	[12 15 17 24 26 31 15]
2020-12-01(二)	[02 04 06 21 25 29 3]
2020-11-29(日)	[01 02 03 04 09 10 12]
2020-11-26(四)	[01 09 22 28 32 33 15]
2020-11-24(二)	[11 13 19 26 30 33 5]
2020-11-22(日)	[07 08 09 10 16 27 7]
2020-11-19(四)	[05 06 14 16 19 27 10]
2020-11-17(二)	[01 04 12 20 25 32 2]
2020-11-15(日)	[01 05 11 24 30 32 3]
2020-11-12(四)	[01 03 07 10 22 32 11]
2020-11-10(二)	[02 09 12 17 28 32 5]
2020-11-08(日)	[06 09 17 22 24 26 16]
2020-11-05(四)	[02 06 09 14 22 25 4]
2020-11-03(二)	[06 13 16 20 23 32 13]
2020-11-01(日)	[10 12 15 17 23 32 5]
2020-10-29(四)	[03 09 11 24 25 28 16]
2020-10-27(二)	[02 04 11 15 18 28 10]
2020-10-25(日)	[06 14 19 20 22 24 1]
2020-10-22(四)	[04 08 10 16 27 29 9]
2020-10-20(二)	[04 09 10 22 28 32 8]
2020-10-18(日)	[09 10 19 25 26 29 8]
2020-10-15(四)	[10 17 24 25 28 30 15]
2020-10-13(二)	[01 07 15 16 20 23 7]
2020-10-11(日)	[05 06 11 12 15 30 12]
2020-10-08(四)	[06 08 11 22 25 33 2]
2020-10-06(二)	[02 08 21 25 26 30 10]
2020-09-29(二)	[01 20 23 26 27 32 15]
2020-09-27(日)	[03 09 16 17 20 26 2]
2020-09-24(四)	[10 15 17 27 29 31 8]
2020-09-22(二)	[04 05 10 13 15 19 15]
2020-09-20(日)	[01 06 12 18 22 24 3]
2020-09-17(四)	[01 09 11 12 16 19 16]
2020-09-15(二)	[02 21 23 26 31 32 6]
2020-09-13(日)	[02 14 16 21 29 30 10]
2020-09-10(四)	[01 06 12 26 29 30 12]
2020-09-08(二)	[11 15 20 23 25 33 10]
2020-09-06(日)	[02 04 06 15 24 27 6]
2020-09-03(四)	[01 02 05 09 19 24 16]
2020-09-01(二)	[03 07 16 17 23 30 7]
2020-08-30(日)	[01 19 25 26 30 31 12]
2020-08-27(四)	[02 08 11 17 21 30 9]
2020-08-25(二)	[01 05 13 14 27 33 15]
2020-08-23(日)	[14 15 18 22 31 33 1]
2020-08-20(四)	[05 12 20 21 22 29 14]
2020-08-18(二)	[03 11 14 16 21 32 4]
2020-08-16(日)	[03 10 16 21 25 27 12]
2020-08-13(四)	[10 15 16 18 20 27 6]
2020-08-11(二)	[03 11 13 20 24 30 16]
2020-08-09(日)	[04 08 09 13 19 33 12]
2020-08-06(四)	[05 07 11 13 27 29 3]
2020-08-04(二)	[06 08 10 15 17 26 4]
2020-08-02(日)	[09 11 12 13 22 23 8]
2020-07-30(四)	[01 02 04 06 19 21 15]
2020-07-28(二)	[03 09 10 13 18 26 4]
2020-07-26(日)	[12 16 21 26 27 32 10]
2020-07-23(四)	[04 07 09 23 27 30 8]
2020-07-21(二)	[02 09 13 17 26 28 7]
2020-07-19(日)	[09 15 18 21 23 26 8]
2020-07-16(四)	[01 03 07 21 27 32 1]
2020-07-14(二)	[12 15 16 22 29 32 14]
2020-07-12(日)	[10 14 17 22 26 27 5]
2020-07-09(四)	[08 17 24 26 27 31 4]
2020-07-07(二)	[05 09 14 20 24 30 8]
2020-07-05(日)	[02 04 10 17 22 25 14]
2020-07-02(四)	[01 03 11 12 19 26 7]
2020-06-30(二)	[09 14 21 23 26 32 3]
2020-06-28(日)	[02 05 08 12 26 31 14]
2020-06-25(四)	[01 05 07 23 28 30 12]
2020-06-23(二)	[03 10 19 25 26 31 2]
2020-06-21(日)	[02 14 15 16 32 33 1]
2020-06-18(四)	[02 08 13 29 32 33 15]
2020-06-16(二)	[03 06 08 11 19 28 8]
2020-06-14(日)	[04 09 17 20 32 33 15]
2020-06-11(四)	[01 07 09 12 18 22 4]
2020-06-09(二)	[12 14 18 23 30 32 2]
2020-06-07(日)	[04 10 17 19 28 32 1]
2020-06-04(四)	[13 19 25 26 27 32 8]
2020-06-02(二)	[02 03 15 21 22 33 16]
2020-05-31(日)	[07 08 16 17 19 24 7]
2020-05-28(四)	[01 11 24 25 27 30 7]
2020-05-26(二)	[02 06 07 11 14 31 3]
2020-05-24(日)	[06 07 16 22 24 25 13]
2020-05-21(四)	[01 06 12 16 19 21 4]
2020-05-19(二)	[02 09 10 11 16 29 2]
2020-05-17(日)	[01 06 07 18 23 24 15]
2020-05-14(四)	[01 04 11 13 17 24 15]
2020-05-12(二)	[07 09 16 22 24 32 6]
2020-05-10(日)	[10 14 24 25 28 33 11]
2020-05-07(四)	[02 08 15 16 26 32 3]
2020-05-05(二)	[07 10 12 21 31 32 1]
2020-05-03(日)	[03 11 13 14 15 26 13]
2020-04-30(四)	[02 05 09 15 16 27 9]
2020-04-28(二)	[17 18 21 29 30 32 3]
2020-04-26(日)	[01 12 18 20 30 32 5]
2020-04-23(四)	[05 06 15 18 26 32 8]
2020-04-21(二)	[12 13 14 24 25 28 6]
2020-04-19(日)	[01 04 09 18 19 31 6]
2020-04-16(四)	[01 09 10 15 20 29 2]
2020-04-14(二)	[10 13 27 28 29 31 8]
2020-04-12(日)	[04 05 20 21 30 33 8]
2020-04-09(四)	[02 10 20 22 25 30 2]
2020-04-07(二)	[02 06 14 16 27 31 7]
2020-04-05(日)	[01 06 09 13 15 22 14]
2020-04-02(四)	[15 19 27 28 30 33 3]
2020-03-31(二)	[05 07 08 11 17 22 13]
2020-03-29(日)	[02 04 07 15 20 27 4]
2020-03-26(四)	[05 06 08 17 24 27 7]
2020-03-24(二)	[08 09 22 24 30 33 1]
2020-03-22(日)	[02 07 08 10 12 16 7]
2020-03-19(四)	[02 08 10 20 21 30 14]
2020-03-17(二)	[04 13 14 23 26 31 9]
2020-03-15(日)	[04 05 07 17 18 29 1]
2020-03-12(四)	[11 14 22 27 31 32 9]
2020-01-21(二)	[03 06 08 14 19 26 12]
2020-01-19(日)	[01 04 06 10 11 28 16]
2020-01-16(四)	[05 12 17 20 25 31 10]
2020-01-14(二)	[03 04 05 10 16 32 9]
2020-01-12(日)	[11 16 17 22 26 32 4]
2020-01-09(四)	[02 15 17 27 32 33 3]
2020-01-07(二)	[09 17 26 29 30 32 3]
2020-01-05(日)	[04 09 14 15 16 29 11]
2020-01-02(四)	[02 15 23 26 29 30 2]
2019-12-31(二)	[02 06 09 18 24 26 14]
2019-12-29(日)	[02 09 14 22 27 29 2]
2019-12-26(四)	[01 06 27 28 31 33 7]
2019-12-24(二)	[09 10 13 20 26 27 8]
2019-12-22(日)	[01 09 12 14 23 27 12]
2019-12-19(四)	[01 04 10 12 30 32 14]
2019-12-17(二)	[01 08 13 17 18 19 16]
2019-12-15(日)	[02 12 15 19 27 30 3]
2019-12-12(四)	[05 13 15 16 26 32 9]
2019-12-10(二)	[08 14 24 27 29 33 9]
2019-12-08(日)	[10 13 14 15 17 33 14]
2019-12-05(四)	[02 04 09 11 14 22 5]
2019-12-03(二)	[08 14 20 23 30 33 11]
2019-12-01(日)	[02 06 12 30 31 32 11]
2019-11-28(四)	[07 10 13 19 23 31 6]
2019-11-26(二)	[12 14 15 17 29 33 12]
2019-11-24(日)	[03 06 10 11 27 33 3]
2019-11-21(四)	[01 04 06 22 29 30 3]
2019-11-19(二)	[03 07 16 21 24 31 7]
2019-11-17(日)	[04 06 11 14 19 33 7]
2019-11-14(四)	[09 17 19 20 24 31 4]
2019-11-12(二)	[01 07 09 11 24 32 16]
2019-11-10(日)	[03 04 07 09 15 26 7]
2019-11-07(四)	[03 08 12 16 17 19 8]
2019-11-05(二)	[02 06 07 12 17 24 10]
2019-11-03(日)	[02 14 17 29 32 33 16]
2019-10-31(四)	[02 11 12 26 27 29 3]
2019-10-29(二)	[04 09 30 31 32 33 1]
2019-10-27(日)	[02 06 08 17 28 30 6]
2019-10-24(四)	[04 10 15 19 21 23 2]
2019-10-22(二)	[02 06 15 21 30 31 2]
2019-10-20(日)	[10 12 27 31 32 33 3]
2019-10-17(四)	[04 20 22 24 26 33 7]
2019-10-15(二)	[12 14 15 25 28 31 4]
2019-10-13(日)	[03 05 11 28 32 33 1]
2019-10-10(四)	[01 08 09 13 16 33 1]
2019-10-08(二)	[04 10 11 14 15 29 5]
2019-09-29(日)	[02 04 09 11 12 30 1]
2019-09-26(四)	[01 05 19 21 25 33 15]
2019-09-24(二)	[03 12 14 17 23 27 1]
2019-09-22(日)	[07 18 20 22 24 33 1]
2019-09-19(四)	[01 18 22 26 27 28 8]
2019-09-17(二)	[03 06 07 17 28 31 10]
